,"(0, 0, 0)","(0, 0, 1)","(0, 1, 0)","(1, 0, 0)"
000,0.125,0.0,0.0,0.0
+01,0.0,0.0,0.0,0.12499999999999997
01+,0.0,0.12499999999999997,0.0,0.0
01-,0.0,0.12499999999999997,0.0,0.0
1+0,0.0,0.0,0.12499999999999997,0.0
-01,0.0,0.0,0.0,0.12499999999999997
1-0,0.0,0.0,0.12499999999999997,0.0
111,0.125,0.0,0.0,0.0
